CEATLTD,CEAT,CEATLTD
CEBBCO,COMMERCIAL ENGINEERS & BODY BUILDERS CO,CEBBCO
CELEBRITY,CELEBRITY FASHIONS,CELEBRITY
CELESTIAL,CELESTIAL BIOLABS,CELESTIAL
CENTENKA,CENTURY ENKA,CENTENKA
CENTEXT,CENTURY EXTRUSIONS,CENTEXT
CENTRALBK,CENTRAL BANK ,CENTRALBK
CENTRUM,CENTRUM CAPITAL,CENTRUM
CENTUM,CENTUM ELECTRONICS,CENTUM
CENTURYPLY,CENTURY PLYBOARDS (INDIA),CENTURYPLY
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES,CENTURYTEX
CERA,CERA SANITARYWARE,CERA
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES,CEREBRAINT
CESC,CESC,CESC
CGCL,CAPRI GLOBAL CAPITAL,CGCL
CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS,CGPOWER
CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS,CHAMBLFERT
CHEMFAB,CHEMFAB ALKALIS,CHEMFAB
CHEMFALKAL,CHEMFAB ALKALIS,CHEMFALKAL
CHEMPLAST,CHEMPLAST SANMAR,CHEMPLAST
CHENNPETRO,CHENNAI PETROLEUM CORPORATION,CHENNPETRO
CHESLINTEX,CHESLIND TEXTILES,CHESLINTEX
CHETTINAD,CHETTINAD CEMENT CORPORATION,CHETTINAD
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY,CHOLAFIN
CHROMATIC,CHROMATIC INDIA,CHROMATIC
CIGNITITEC,CIGNITI TECHNOLOGIES,CIGNITITEC
CILNOVA,CIL NOVA PETROCHEMICALS,CILNOVA
CIMMCO,CIMMCO,CIMMCO
CINELINE,CINELINE INDIA,CINELINE
CINEMAX,CINEMAX INDIA,CINEMAX
CINEPRO,CINEMAX PROPERTIES,CINEPRO
CINEVISTA,CINEVISTA,CINEVISTA
CIPLA,CIPLA,CIPLA
CLASSIC,CLASSIC DIAMONDS (INDIA),CLASSIC
CLEDUCATE,CL EDUCATE,CLEDUCATE
CLNINDIA,CLARIANT CHEMICALS (INDIA),CLNINDIA
CLUTCHAUTO,CLUTCH AUTO,CLUTCHAUTO
CMAHENDRA,C. MAHENDRA EXPORTS,CMAHENDRA
CMC,CMC,CMC
CMICABLES,CMI,CMICABLES
CNOVAPETRO,CIL NOVA PETROCHEMICALS,CNOVAPETRO
CNX_100,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX -,CNX_100
CNX_100_EQUAL_WEIGHT,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX 100 EQUA,CNX_100_EQUAL_WEIGHT
CNX_200,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX -,CNX_200
CNX_500,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX -,CNX_500
CNX_500_SHARIAH,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX 500,CNX_500_SHARIAH
CNX_ALPHA_INDEX,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - C,CNX_ALPHA_INDEX
CNX_AUTO,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - ,CNX_AUTO
CNX_BANK,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - ,CNX_BANK
CNX_COMMODITIES,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX COM,CNX_COMMODITIES
CNX_CONSUMPTION,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX CON,CNX_CONSUMPTION
CNX_DEFTY,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - C,CNX_DEFTY
CNX_DIVIDEND_OPPT,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX DIVIDEND OPPOR,CNX_DIVIDEND_OPPT
CNX_ENERGY,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CN,CNX_ENERGY
CNX_FINANCE,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX,CNX_FINANCE
CNX_FMCG,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - ,CNX_FMCG
CNX_HIGH_BETA,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX H,CNX_HIGH_BETA
CNX_INFRA,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX INFRAS,CNX_INFRA
CNX_IT,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX ,CNX_IT
CNX_LOW_VOLATILITY,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX LOW VO,CNX_LOW_VOLATILITY
CNX_MEDIA,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - C,CNX_MEDIA
CNX_METAL,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - C,CNX_METAL
CNX_MIDCAP,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CN,CNX_MIDCAP
CNX_MNC,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX -,CNX_MNC
CNX_NIFTY,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - C,CNX_NIFTY
CNX_NIFTY_JUNIOR,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - JUNI,CNX_NIFTY_JUNIOR
CNX_NIFTY_SHARIAH,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX NIFTY,CNX_NIFTY_SHARIAH
CNX_PHARMA,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CN,CNX_PHARMA
CNX_PSE,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX -,CNX_PSE
CNX_PSU_BANK,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX ,CNX_PSU_BANK
CNX_REALTY,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CN,CNX_REALTY
CNX_SERVICE,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX SERVIC,CNX_SERVICE
CNX_SHARIAH25,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX S,CNX_SHARIAH25
CNX_SMALLCAP,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDEX - CNX ,CNX_SMALLCAP
COALINDIA,COAL INDIA,COALINDIA
COCHINSHIP,COCHIN SHIPYARD,COCHINSHIP
COFFEEDAY,COFFEE DAY ENTERPRISES,COFFEEDAY
COLPAL,COLGATE PALMOLIVE (INDIA),COLPAL
COMPINFO,COMPUAGE INFOCOM,COMPINFO
COMPUAGE,COMPUAGE INFOCOM,COMPUAGE
COMPUSOFT,COMPUCOM SOFTWARE,COMPUSOFT
CONCOR,CONTAINER CORPORATION OF INDIA,CONCOR
CONSOFINVT,CONSOLIDATED FINVEST & HOLDINGS,CONSOFINVT
CONTROLPR,CONTROL PRINT,CONTROLPR
CORALFINAC,CORAL INDIA FINANCE & HOUSING,CORALFINAC
CORAL_HUB,CORAL HUB,CORAL_HUB
CORDSCABLE,CORDS CABLE INDUSTRIES,CORDSCABLE
COREEDUTEC,CORE EDUCATION & TECHNOLOGIES,COREEDUTEC
COROENGG,COROMANDEL ENGINEERING COMPANY,COROENGG
COROMANDEL,COROMANDEL INTERNATIONAL,COROMANDEL
CORPBANK,CORPORAT,CORPBANK
COSMOFILMS,COSMO FILMS,COSMOFILMS
COUNCODOS,COUNTRY CONDO'S,COUNCODOS
COXKINGS,COX & KINGS,COXKINGS
CPIL,CAREER POINT INFOSYSTEMS,CPIL
CPSEETF,C,CPSEETF
CPSE_INDEX,NATIONAL STOCK EXCHANGE OF INDIA (NSE) STOCK INDE,CPSE_INDEX
CREATIVEYE,CREATIVE EYE,CREATIVEYE
